src_ip,dst_ip,src_port,Destination Port,protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
127.0.0.1,127.0.0.1,53117,8000,TCP,3.7895119190216064,0,5685,0.0,6522824,0,0,0,0,65324,44,1147.3744942832013,8276.3713393613,1721283.4104725795,1500.1931967713085,0.0006666980856829005,0.004957493116044049,0.1505439281463623,1.3828277587890625e-05,0,0.0,0.0,0,0,3.7895119190216064,0.0006666980856829005,0.004957493116044049,0.1505439281463623,1.3828277587890625e-05,0,0,0,0,0.0,113712,0.0,1500.1931967713085,44,65324,1147.3744942832013,8276.3713393613,68498322.54700117,0,0,0,0,0,0,0,0,0,1147.3744942832013,0,1147.3744942832013,0,0,0,0,0,0,0,0.0,5685,6522824,65535,0,0,4,0.0006666980856829005,0.004957493116044049,0.1505439281463623,1.3828277587890625e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,53120,8000,TCP,3.7897450923919678,0,5034,0.0,6494404,0,0,0,0,65324,44,1290.1080651569328,8785.197062159723,1713678.3191665635,1328.321530148799,0.0007529793547371285,0.005445316378119289,0.16481804847717285,1.4066696166992188e-05,0,0.0,0.0,0,0,3.7897450923919678,0.0007529793547371285,0.005445316378119289,0.16481804847717285,1.4066696166992188e-05,0,0,0,0,0.0,100692,0.0,1328.321530148799,44,65324,1290.1080651569328,8785.197062159723,77179687.42097981,0,0,0,0,0,0,0,0,0,1290.1080651569328,0,1290.1080651569328,0,0,0,0,0,0,0,0.0,5034,6494404,65535,0,0,4,0.0007529793547371285,0.005445316378119289,0.16481804847717285,1.4066696166992188e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,53119,8000,TCP,3.787600040435791,0,4573,0.0,6456776,0,0,0,0,65324,44,1411.9343975508418,9228.568201664355,1704714.3127755118,1207.3608488698408,0.0008284339546010042,0.005676822228244747,0.1447618007659912,1.4781951904296875e-05,0,0.0,0.0,0,0,3.787600040435791,0.0008284339546010042,0.005676822228244747,0.1447618007659912,1.4781951904296875e-05,0,0,0,0,0.0,91472,0.0,1207.3608488698408,44,65324,1411.9343975508418,9228.568201664355,85166471.05277047,0,0,0,0,0,0,0,0,0,1411.9343975508418,0,1411.9343975508418,0,0,0,0,0,0,0,0.0,4573,6456776,65535,0,0,4,0.0008284339546010042,0.005676822228244747,0.1447618007659912,1.4781951904296875e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,53122,8000,TCP,3.791199207305908,0,6119,0.0,6600896,0,0,0,0,65324,44,1078.7540447785586,8024.700895259691,1741110.3028507729,1614.0011815280652,0.0006196795042997562,0.0046662868475915225,0.11859416961669922,1.811981201171875e-05,0,0.0,0.0,0,0,3.791199207305908,0.0006196795042997562,0.0046662868475915225,0.11859416961669922,1.811981201171875e-05,0,0,0,0,0.0,122392,0.0,1614.0011815280652,44,65324,1078.7540447785586,8024.700895259691,64395824.45838168,0,0,0,0,0,0,0,0,0,1078.7540447785586,0,1078.7540447785586,0,0,0,0,0,0,0,0.0,6119,6600896,65535,0,0,4,0.0006196795042997562,0.0046662868475915225,0.11859416961669922,1.811981201171875e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,53123,8000,TCP,3.789879083633423,0,5363,0.0,6533456,0,0,0,0,65324,44,1218.2465038224875,8516.164926349871,1723922.0185717014,1415.0847247766012,0.0007068032606552449,0.005040644544401191,0.1263129711151123,1.3828277587890625e-05,0,0.0,0.0,0,0,3.789879083633423,0.0007068032606552449,0.005040644544401191,0.1263129711151123,1.3828277587890625e-05,0,0,0,0,0.0,107272,0.0,1415.0847247766012,44,65324,1218.2465038224875,8516.164926349871,72525065.0527917,0,0,0,0,0,0,0,0,0,1218.2465038224875,0,1218.2465038224875,0,0,0,0,0,0,0,0.0,5363,6533456,65535,0,0,4,0.0007068032606552449,0.005040644544401191,0.1263129711151123,1.3828277587890625e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,8000,53115,TCP,3.7909610271453857,0,5588,0.0,245884,0,0,0,0,56,44,44.00214745884037,0.16051446821079904,64860.59820698077,1474.0325632436782,0.0006785324909871819,0.004779105638304711,0.1415870189666748,1.4066696166992188e-05,0,0.0,0.0,0,0,3.7909610271453857,0.0006785324909871819,0.004779105638304711,0.1415870189666748,1.4066696166992188e-05,0,0,0,0,0.0,111772,0.0,1474.0325632436782,44,56,44.00214745884037,0.16051446821079904,0.025764894504995618,0,0,0,0,0,0,0,0,0,44.00214745884037,0,44.00214745884037,0,0,0,0,0,0,0,0.0,5588,245884,65535,0,0,4,0.0006785324909871819,0.004779105638304711,0.1415870189666748,1.4066696166992188e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,8000,53118,TCP,3.7907330989837646,0,5134,0.0,225908,0,0,0,0,56,44,44.00233735878457,0.1674599718404173,59594.805041948835,1354.3554415309122,0.0007385024545068702,0.005110087019890118,0.15179800987243652,1.4781951904296875e-05,0,0.0,0.0,0,0,3.7907330989837646,0.0007385024545068702,0.005110087019890118,0.15179800987243652,1.4781951904296875e-05,0,0,0,0,0.0,102692,0.0,1354.3554415309122,44,56,44.00233735878457,0.1674599718404173,0.028042842168793353,0,0,0,0,0,0,0,0,0,44.00233735878457,0,44.00233735878457,0,0,0,0,0,0,0,0.0,5134,225908,65535,0,0,4,0.0007385024545068702,0.005110087019890118,0.15179800987243652,1.4781951904296875e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,8000,53119,TCP,3.791321039199829,0,4666,0.0,205316,0,0,0,0,56,44,44.00257179597085,0.17565573578941301,54154.211125136644,1230.7055909421942,0.0008127161927545185,0.0054509650176654545,0.14458918571472168,1.4066696166992188e-05,0,0.0,0.0,0,0,3.791321039199829,0.0008127161927545185,0.0054509650176654545,0.14458918571472168,1.4066696166992188e-05,0,0,0,0,0.0,93332,0.0,1230.7055909421942,44,56,44.00257179597085,0.17565573578941301,0.03085493751572007,0,0,0,0,0,0,0,0,0,44.00257179597085,0,44.00257179597085,0,0,0,0,0,0,0,0.0,4666,205316,65535,0,0,4,0.0008127161927545185,0.0054509650176654545,0.14458918571472168,1.4066696166992188e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,8000,53117,TCP,3.789440155029297,0,5776,0.0,254156,0,0,0,0,56,44,44.00207756232687,0.15788106807725763,67069.53787426552,1524.2357086268182,0.0006561801134249864,0.004763090992971718,0.14895296096801758,1.3828277587890625e-05,0,0.0,0.0,0,0,3.789440155029297,0.0006561801134249864,0.004763090992971718,0.14895296096801758,1.3828277587890625e-05,0,0,0,0,0.0,115532,0.0,1524.2357086268182,44,56,44.00207756232687,0.15788106807725763,0.024926431657215663,0,0,0,0,0,0,0,0,0,44.00207756232687,0,44.00207756232687,0,0,0,0,0,0,0,0.0,5776,254156,65535,0,0,4,0.0006561801134249864,0.004763090992971718,0.14895296096801758,1.3828277587890625e-05,0.0,0.0,0.0,0.0
127.0.0.1,127.0.0.1,8000,53120,TCP,3.7896759510040283,0,5124,0.0,225468,0,0,0,0,56,44,44.002341920374704,0.16762326779252829,59495.32437998162,1352.0944973256774,0.0007397376441546025,0.005239964522466257,0.16355299949645996,1.5020370483398438e-05,0,0.0,0.0,0,0,3.7896759510040283,0.0007397376441546025,0.005239964522466257,0.16355299949645996,1.5020370483398438e-05,0,0,0,0,0.0,102492,0.0,1352.0944973256774,44,56,44.002341920374704,0.16762326779252829,0.028097559905445654,0,0,0,0,0,0,0,0,0,44.002341920374704,0,44.002341920374704,0,0,0,0,0,0,0,0.0,5124,225468,65535,0,0,4,0.0007397376441546025,0.005239964522466257,0.16355299949645996,1.5020370483398438e-05,0.0,0.0,0.0,0.0
